SYMBOL,BME01 ,BME02,BMe6,UMe7 ,UMe8,UMe9 
GBE1,8421.643822,6819.36774,18413.00992,56975.42002,31909.45301,29280.02902
GBF1,1812.202404,5062.778494,3131.095037,11098.78657,17903.35919,11280.73282
GC,246475.893,197819.1033,1312079.999,1072741.247,2474311.942,1126872.767
GCLC,861.8163091,834.7179681,8620.487829,14354.32785,14527.65574,10425.1037
GCLM,3919.91578,9683.232668,35284.32596,41906.47025,42876.08633,67116.40075
GCN1,15976.67786,18729.90986,43289.80932,94427.63116,128608.4012,112848.3147
GDI1,29828.71987,38568.23036,82817.14105,203744.1686,154613.0334,159730.4227
GDI2,212071.4998,217436.5752,421263.9122,2208373.461,1982827.085,2118752.911
GET3,16334.88654,12322.49295,15820.56224,55684.73862,1031.946888,36240.41146
GFM2,25542.99621,55896.47233,1713.320873,2114.513923,36772.74951,9348.832252
GFPT1,62418.87329,42362.79485,110892.8798,621809.4807,669298.6614,547128.9312
GFPT2,15689.47817,11095.71534,26978.2625,162561.9539,225446.5375,160657.6304
GGT3P,112464.0783,92560.71323,62036.82927,105936.9944,211925.9079,96678.94855
GIPC1,25888.81045,35489.04321,43519.26904,248501.1358,188729.8557,189150.4422
GIT1,28137.91934,18342.21935,429362.476,55311.94195,75378.22313,45046.73918
GJA1,106335.6963,136319.7592,78874.36684,838506.731,956327.3816,1093404.097
GLG1,23195.72811,12458.50456,10933.78542,72539.22394,32028.73508,22047.33354
GLIPR2,103366.9985,100359.8814,281939.7242,550368.3285,300879.0714,630992.3773
GLMN,3693.955439,25896.5279,3300.519863,13417.81854,5941.177146,9618.243499
GLO1,15343.82432,6623.801593,14840.95082,177909.2662,133287.8196,108090.2611
GLOD4,20056.33047,7280.773965,59792.05415,62716.20985,67992.78929,41176.02032
GLRX,37658.5739,21564.88685,21207.85086,199823.4599,189272.4067,86720.27543
GLRX3,3268.055451,2538.617342,4124.457122,7507.80333,507.1136436,1480.403232
GLS,5901.409539,4985.852168,1815.228892,22125.03179,16800.51462,17304.17903
GLT8D1,1669.699998,2637.112192,3161.547915,7078.205186,4828.111526,6047.733607
GMFB,15785.61987,2895.181687,43987.01305,28921.08801,23948.25133,6783.554608
GMPPA,5590.041586,10182.47721,12557.46486,35035.35685,45627.44354,30573.1329
GMPPB,16871.09522,6201.183815,8551.73842,26720.77863,40094.26527,29440.10546
GNA11,73837.5842,67340.01372,176374.1501,439105.9871,529548.1564,324007.0091
GNA13,42394.33308,38175.76525,16403.177,130135.0107,107795.5164,116727.5979
GNAI1,4993.81927,7145.812034,33737.89567,1912.787995,167010.5289,232352.5071
GNAI2,565079.4303,476644.2916,448677.9615,2661419.62,2045241.867,1933815.409
GNAI3,88038.63829,56461.62913,275610.1355,1451079.852,450715.5213,669164.1255
GNAQ,52743.43582,51744.0795,37272.63704,149161.6598,90011.6016,166400.417
GNAS,261497.6107,225145.8237,441252.1452,1282613.755,961298.048,1139742.927
GNAZ,5131789.493,3048310.313,23612.83543,1868482.151,2311820.31,1135472.452
GNB1,419887.9436,360549.4118,613002.8525,3430322.218,2641807.22,2995020.211
GNB2,516983.3012,402153.8363,769672.4701,3873486.819,3090687.466,3549429.894
GNB4,35609.42327,31344.49738,57767.91349,211771.4417,147463.5164,172752.7183
GNE,48089.32,23946.9606,33934.31871,88796.58779,90458.22256,67530.07213
GNG10,31897.72403,46043.81493,56095.42668,274963.9566,108646.6161,211524.8823
GNG11,10662.44303,8212.704924,3946.543836,16926.78307,2858.351211,14753.1603
GNG12,271762.4976,209084.2642,595465.7904,4130901.834,2306377.464,2841455.296
GNG2,40330.82405,26670.95787,17541.55613,82486.32479,236801.9256,163689.7072
GNG5,8942.326426,30455.62924,5720.374228,5043.896463,4259.241281,4323.473299
GNL1,114461.9321,73386.55965,173133.2758,467645.6042,406673.3387,439553.2652
GNPDA1,15524.18033,19651.89954,16864.39002,32406.5625,33753.05652,24812.45194
GNPNAT1,8046.342844,3464.062444,22105.55781,65182.33501,54128.35141,36284.99421
GOLGA7,7002.142153,34482.7977,9230.38854,83178.85289,67112.31853,67791.53506
GOT1,10332.38411,54581.0583,14299.52352,53410.78336,72741.10958,21113.24397
GOT2,15849.2437,26966.11272,10433.69431,40715.43883,11530.35289,19239.34588
GP1BB,531332.4402,556298.4434,86117.60067,135659.693,120899.8488,98592.6809
GPC1,4162.974556,8493.600529,36940.97604,33344.35627,11164.02515,10681.6139
GPC6,9710.027882,5237.191689,20743.04821,8792.366173,17012.64704,26506.50246
GPHN,310.8202312,3095.47587,3153.818526,19944.64083,9663.301178,21645.78794
GPI,116985.4246,62367.37671,279398.5739,692372.9861,559681.5046,497389.1426
GPR176,8568.797233,15924.89703,19772.87986,125876.1563,68939.34104,138862.6644
GPR89B,933.2319611,760.2008886,1645.045657,38629.58026,8205.981912,17466.05006
GPRC5A,5944.33149,9636.143607,38702.316,176126.0939,97764.39955,51738.06927
GPS1,7141.415773,20196.33713,9202.040984,6960.382875,3955.201526,8645.209473
GPSM1,2155.515466,12178.66634,805.3090731,8530.52548,9327.646774,4771.487606
GPX1,20412.34468,31217.15806,14423.95209,124671.6259,200786.3924,119062.3414
GPX3,144994.2204,138760.3537,47899.93792,112003.0167,114601.821,59128.37239
GPX4,3440.743225,11688.76674,11427.78479,61181.47919,83655.50285,71834.64189
GRB2,12530.3502,3458.542383,3859.111002,11071.87641,2633.684298,13648.73064
GREM1,20753.31281,18642.87759,77396.45127,393945.9292,109257.9187,286198.7419
GRIA2,86229.78475,820361.1257,7298.85568,11305.27905,11907.12401,7851.51012
GRK2,33985.29615,43507.18056,389.8824097,10278.27626,8910.161355,4412.121902
GRK6,4523.121029,7998.204678,10413.64439,31043.56279,24156.7126,35062.10782
GRWD1,12491.76292,6480.203615,1391.015772,3867.416481,4749.243117,21606.47393
GSDME,1815.016528,11083.88813,13650.3568,8802.761107,2877.738969,30557.14932
GSK3A,8843.366119,2307.704411,6843.100101,18279.19386,21859.80617,18823.62964
GSN,414397.7863,411529.3112,305042.2596,386873.8481,573325.3824,387595.9397
GSPT1,13402.02859,11693.70395,29740.99081,27468.24676,77787.8309,36592.95042
GSR,6989.950833,18537.9,5570.270343,49438.98435,61382.05699,82922.41898
GSS,24397.72386,32000.03101,39749.28998,118872.1196,108881.5973,102229.4888
GSTO1,5952.428654,20282.97441,66850.56468,513098.1644,491580.5901,549172.0066
GSTP1,175768.495,154013.8074,327684.2066,2206209.077,2703913.013,2633572.809
GYG1,5568.585933,2408.632735,11759.60141,55525.52161,45093.36202,32932.23518
GYS1,5222.193291,9605.916638,15175.52766,42076.65883,22346.97662,18131.21347
H1-3,27033.86419,26395.50897,21933.67372,498200.6405,108240.0953,115310.8826
H1-5,1609.730379,5960.642698,2457.616926,129750.7341,27541.23215,42801.83289
H2BC3,37159.29544,11101.93648,12174.73556,113879.9931,140289.645,217091.728
H3C15,280867.4026,235482.9316,279296.7785,8655889.138,1813654.137,2065761.681
H4C1,237192.9243,225515.4592,398060.8634,2483214.783,651990.9943,559137.1102
HADHB,60269.59655,11017.47804,12073.48068,28904.54131,29464.99599,21055.65238
HAL,12542.36885,9174.787543,695.8660001,4002.836287,4417.954152,1937.809659
HAPLN1,7529.106714,26273.5941,19665.68972,26905.08523,23545.91084,5369.908904
HARS1,33503.68217,23950.05873,32028.0118,180401.086,180084.7675,153942.9894
HAS2,84588.03649,68635.95092,316713.6194,644960.1253,277858.4304,247466.9501
HBA1,11745368.25,8499418.002,1074032.299,2728908.784,2956046.956,1504200.316
